entity,period,metric,value,unit,row_role,level,src_sheet,src_row,src_col,scale_applied,scale_source,raw_value,flags
서울특별시 > 계 > 55 - 59세,2023,적용인구 (명),708935,,subtotal,0,데이터,76,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 55 - 59세,2024,적용인구 (명),717733,,subtotal,0,데이터,76,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 60 - 64세,2023,적용인구 (명),707251,,subtotal,0,데이터,77,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 60 - 64세,2024,적용인구 (명),694887,,subtotal,0,데이터,77,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 65 - 69세,2023,적용인구 (명),598010,,subtotal,0,데이터,78,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 65 - 69세,2024,적용인구 (명),621612,,subtotal,0,데이터,78,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 70 - 74세,2023,적용인구 (명),400688,,subtotal,0,데이터,79,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 70 - 74세,2024,적용인구 (명),419795,,subtotal,0,데이터,79,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 75 - 79세,2023,적용인구 (명),301891,,subtotal,0,데이터,80,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 75 - 79세,2024,적용인구 (명),316591,,subtotal,0,데이터,80,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 80 - 84세,2023,적용인구 (명),211922,,subtotal,0,데이터,81,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 80 - 84세,2024,적용인구 (명),217518,,subtotal,0,데이터,81,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 85세 이상,2023,적용인구 (명),142295,,subtotal,0,데이터,82,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 85세 이상,2024,적용인구 (명),155383,,subtotal,0,데이터,82,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 합계,2023,적용인구 (명),4570143,,subtotal,0,데이터,83,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 합계,2024,적용인구 (명),4539694,,subtotal,0,데이터,83,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 1 - 4세,2023,적용인구 (명),91415,,data,0,데이터,84,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 1 - 4세,2024,적용인구 (명),84877,,data,0,데이터,84,5,1,none,,DITTO_FILLED
