entity,period,metric,value,unit,row_role,level,src_sheet,src_row,src_col,scale_applied,scale_source,raw_value,flags
여자 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2024,처분가능소득,4828,,data,0,데이터,21,9,1,none,,DITTO_FILLED
여자 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2022,시장소득,13.4,,data,0,데이터,22,4,1,none,,DITTO_FILLED
여자 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2022,처분가능소득,10.3,,data,0,데이터,22,5,1,none,,DITTO_FILLED
여자 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2023,시장소득,12.9,,data,0,데이터,22,6,1,none,,DITTO_FILLED
여자 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2023,처분가능소득,10,,data,0,데이터,22,7,1,none,,DITTO_FILLED
여자 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2024,시장소득,13.1,,data,0,데이터,22,8,1,none,,DITTO_FILLED
여자 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2024,처분가능소득,10.4,,data,0,데이터,22,9,1,none,,DITTO_FILLED
여자 > 은퇴연령인구(66세 이상) > 균등화 소득평균(만원),2022,시장소득,1885,,data,0,데이터,23,4,1,none,,DITTO_FILLED
여자 > 은퇴연령인구(66세 이상) > 균등화 소득평균(만원),2022,처분가능소득,2469,,data,0,데이터,23,5,1,none,,DITTO_FILLED
여자 > 은퇴연령인구(66세 이상) > 균등화 소득평균(만원),2023,시장소득,2112,,data,0,데이터,23,6,1,none,,DITTO_FILLED
여자 > 은퇴연령인구(66세 이상) > 균등화 소득평균(만원),2023,처분가능소득,2706,,data,0,데이터,23,7,1,none,,DITTO_FILLED
여자 > 은퇴연령인구(66세 이상) > 균등화 소득평균(만원),2024,시장소득,2225,,data,0,데이터,23,8,1,none,,DITTO_FILLED
여자 > 은퇴연령인구(66세 이상) > 균등화 소득평균(만원),2024,처분가능소득,2888,,data,0,데이터,23,9,1,none,,DITTO_FILLED
여자 > 은퇴연령인구(66세 이상) > 상대적빈곤율(중위소득50%이하 %),2022,시장소득,62.9,,data,0,데이터,24,4,1,none,,DITTO_FILLED
여자 > 은퇴연령인구(66세 이상) > 상대적빈곤율(중위소득50%이하 %),2022,처분가능소득,45,,data,0,데이터,24,5,1,none,,DITTO_FILLED
여자 > 은퇴연령인구(66세 이상) > 상대적빈곤율(중위소득50%이하 %),2023,시장소득,60.8,,data,0,데이터,24,6,1,none,,DITTO_FILLED
여자 > 은퇴연령인구(66세 이상) > 상대적빈곤율(중위소득50%이하 %),2023,처분가능소득,44.8,,data,0,데이터,24,7,1,none,,DITTO_FILLED
여자 > 은퇴연령인구(66세 이상) > 상대적빈곤율(중위소득50%이하 %),2024,시장소득,61.2,,data,0,데이터,24,8,1,none,,DITTO_FILLED
여자 > 은퇴연령인구(66세 이상) > 상대적빈곤율(중위소득50%이하 %),2024,처분가능소득,42.7,,data,0,데이터,24,9,1,none,,DITTO_FILLED
여자 > 노인인구(65세 이상) > 균등화 소득평균(만원),2022,시장소득,1964,,data,0,데이터,25,4,1,none,,DITTO_FILLED
여자 > 노인인구(65세 이상) > 균등화 소득평균(만원),2022,처분가능소득,2540,,data,0,데이터,25,5,1,none,,DITTO_FILLED
여자 > 노인인구(65세 이상) > 균등화 소득평균(만원),2023,시장소득,2167,,data,0,데이터,25,6,1,none,,DITTO_FILLED
여자 > 노인인구(65세 이상) > 균등화 소득평균(만원),2023,처분가능소득,2767,,data,0,데이터,25,7,1,none,,DITTO_FILLED
여자 > 노인인구(65세 이상) > 균등화 소득평균(만원),2024,시장소득,2323,,data,0,데이터,25,8,1,none,,DITTO_FILLED
여자 > 노인인구(65세 이상) > 균등화 소득평균(만원),2024,처분가능소득,2979,,data,0,데이터,25,9,1,none,,DITTO_FILLED
여자 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2022,시장소득,61.1,,data,0,데이터,26,4,1,none,,DITTO_FILLED
여자 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2022,처분가능소득,43.4,,data,0,데이터,26,5,1,none,,DITTO_FILLED
여자 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2023,시장소득,59.5,,data,0,데이터,26,6,1,none,,DITTO_FILLED
여자 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2023,처분가능소득,43.2,,data,0,데이터,26,7,1,none,,DITTO_FILLED
여자 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2024,시장소득,59.2,,data,0,데이터,26,8,1,none,,DITTO_FILLED
여자 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2024,처분가능소득,41,,data,0,데이터,26,9,1,none,,DITTO_FILLED
